No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
17,Dennis Schroder,PG,6-1,172,September 15 1993,de,4,
3,Marco Belinelli,SG,6-5,210,March 25 1986,it,10,
24,Kent Bazemore,SG,6-5,201,July 1 1989,us,5,Old Dominion University
5,Malcolm Delaney,PG,6-3,190,March 11 1989,us,1,Virginia Polytechnic Institute and State University
12,Taurean Prince,SF,6-8,220,March 22 1994,us,1,Baylor University
95,DeAndre' Bembry,SF,6-6,210,July 4 1994,us,1,Saint Joseph's University
18,Miles Plumlee,C,6-11,249,September 1 1988,us,5,Duke University
20,John Collins,PF,6-10,235,September 23 1997,us,R,Wake Forest University
2,Tyler Dorsey,SG,6-5,183,February 14 1996,us,R,University of Oregon
14,Dewayne Dedmon,C,7-0,245,August 12 1989,us,4,University of Southern California
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,tr,9,
31,Mike Muscala,C,6-11,240,July 1 1991,us,4,Bucknell University
8,Luke Babbitt,SF,6-9,225,June 20 1989,us,7,University of Nevada Reno
22,Isaiah Taylor,PG,6-3,170,July 11 1994,us,1,University of Texas at Austin
