No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Nik Stauskas,SG,6-6,205,October 7 1993,ca,3,University of Michigan
1,D'Angelo Russell,PG,6-5,195,February 23 1996,us,2,Ohio State University
4,Jahlil Okafor,C,6-11,275,December 15 1995,us,2,Duke University
24,Rondae Hollis-Jefferson,SF,6-7,220,January 3 1995,us,2,University of Arizona
9,DeMarre Carroll,SF,6-8,215,July 27 1986,us,8,University of Missouri
7,Jeremy Lin,PG,6-3,200,August 23 1988,us,7,Harvard University
20,Timofey Mozgov,C,7-1,275,July 16 1986,ru,7,
33,Allen Crabbe,SG,6-6,210,April 9 1992,us,4,University of California
15,Isaiah Whitehead,PG,6-4,213,March 8 1995,us,1,Seton Hall University
22,Caris LeVert,SF,6-7,203,August 25 1994,us,1,University of Michigan
12,Joe Harris,SG,6-6,219,September 6 1991,us,3,University of Virginia
8,Spencer Dinwiddie,PG,6-6,200,April 6 1993,us,3,University of Colorado
13,Quincy Acy,PF,6-7,240,October 6 1990,us,5,Baylor University
31,Jarrett Allen,C,6-10,234,April 21 1998,us,R,University of Texas at Austin
44,Tyler Zeller,C,7-0,253,January 17 1990,us,5,University of North Carolina
