No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
20,Quincy Pondexter,SF,6-7,220,March 10 1988,us,5,University of Washington
8,Zach LaVine,G,6-5,189,March 10 1995,us,3,University of California Los Angeles
22,Cameron Payne,G,6-3,185,August 8 1994,us,2,Murray State University
2,Jerian Grant,PG,6-4,195,October 9 1992,us,2,University of Notre Dame
5,Bobby Portis,PF,6-11,230,February 10 1995,us,2,University of Arkansas
42,Robin Lopez,C,7-0,255,April 1 1988,us,9,Stanford University
45,Denzel Valentine,SG,6-6,212,November 16 1993,us,1,Michigan State University
16,Paul Zipser,SF,6-8,215,February 18 1994,de,1,
32,Kris Dunn,PG,6-4,210,March 18 1994,us,1,Providence College
11,David Nwaba,SG,6-4,209,January 14 1993,us,1,California Polytechnic State University San Luis Obispo
24,Lauri Markkanen,PF,7-0,230,May 22 1997,fi,R,University of Arizona
6,Cristiano Felicio,C,6-10,275,July 7 1992,br,2,
7,Justin Holiday,SG,6-6,185,April 5 1989,us,4,University of Washington
44,Nikola Mirotic,PF,6-10,220,February 11 1991,me,3,
