No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
14,Michael Kidd-Gilchrist,SF,6-7,232,September 26 1993,us,5,University of Kentucky
15,Kemba Walker,PG,6-1,172,May 8 1990,us,6,University of Connecticut
40,Cody Zeller,C,7-0,240,October 5 1992,us,4,Indiana University
3,Jeremy Lamb,SG,6-5,185,May 30 1992,us,5,University of Connecticut
44,Frank Kaminsky,PF,7-0,242,April 4 1993,us,2,University of Wisconsin
5,Nicolas Batum,SG,6-8,200,December 14 1988,fr,9,
2,Marvin Williams,PF,6-9,237,June 19 1986,us,12,University of North Carolina
12,Dwight Howard,C,6-11,265,December 8 1985,us,13,
21,Treveon Graham,SG,6-6,220,October 29 1993,us,1,Virginia Commonwealth University
8,Johnny O'Bryant,PF,6-9,257,June 1 1993,us,3,Louisiana State University
1,Malik Monk,SG,6-3,200,February 4 1998,us,R,University of Kentucky
10,Michael Carter-Williams,PG,6-6,190,October 10 1991,us,4,Syracuse University
7,Dwayne Bacon,SG,6-6,222,August 30 1995,us,R,Florida State University
32,Julyan Stone,SG,6-6,200,December 7 1988,us,3,University of Texas at El Paso
