No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Kyrie Irving\irvinky01,PG,6-3,193,March 23 1992,au,5,Duke University
8,Channing Frye\fryech01,C,6-11,255,May 17 1983,us,10,University of Arizona
26,Kyle Korver\korveky01,SG,6-7,212,March 17 1981,us,13,Creighton University
0,Kevin Love\loveke01,PF,6-10,251,September 7 1988,us,8,University of California Los Angeles
4,Iman Shumpert\shumpim01,SG,6-5,220,June 26 1990,us,5,Georgia Institute of Technology
13,Tristan Thompson\thomptr01,C,6-9,238,March 13 1991,ca,5,University of Texas at Austin
12,Jordan McRae\mcraejo01,SG,6-6,185,March 28 1991,us,1,University of Tennessee
00,Chris Andersen\anderch01,C,6-10,245,July 7 1978,us,14,Blinn College
24,Richard Jefferson\jefferi01,SF,6-7,233,June 21 1980,us,15,University of Arizona
14,DeAndre Liggins\liggide01,SG,6-6,209,March 31 1988,us,3,University of Kentucky
1,James Jones\jonesja02,SF,6-8,218,October 4 1980,us,13,University of Miami
20,Kay Felder\feldeka01,PG,5-9,176,March 29 1995,us,R,Oakland University
23,LeBron James\jamesle01,SF,6-8,250,December 30 1984,us,13,
5,J.R. Smith\smithjr01,SG,6-6,225,September 9 1985,us,12,
