No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Andrew Bogut\bogutan01,C,7-0,260,November 28 1984,au,11,University of Utah
34,Devin Harris\harride01,PG,6-3,192,February 27 1983,us,12,University of Wisconsin
1,Justin Anderson\anderju01,SF,6-6,228,November 19 1993,us,1,University of Virginia
23,Wesley Matthews\matthwe02,SG,6-5,220,October 14 1986,us,7,Marquette University
5,J.J. Barea\bareajo01,PG,6-0,185,June 26 1984,pr,10,Northeastern University
50,Salah Mejri\mejrisa01,C,7-1,245,June 15 1986,tn,1,
40,Harrison Barnes\barneha02,SF,6-8,210,May 30 1992,us,4,University of North Carolina
8,Deron Williams\willide01,PG,6-3,200,June 26 1984,us,11,University of Illinois at Urbana-Champaign
7,Dwight Powell\poweldw01,C,6-11,240,July 20 1991,ca,2,Stanford University
20,A.J. Hammons\hammoaj01,C,7-0,260,August 27 1992,us,R,Purdue University
10,Dorian Finney-Smith\finnedo01,PF,6-8,220,May 4 1993,us,R,University of Florida
9,Nicolas Brussino\brussni01,SF,6-7,195,March 2 1993,ar,R,
41,Dirk Nowitzki\nowitdi01,PF,7-0,245,June 19 1978,de,18,
30,Seth Curry\curryse01,PG,6-2,185,August 23 1990,us,3,Duke University
