No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Danilo Gallinari\gallida01,SF,6-10,225,August 8 1988,it,7,
21,Wilson Chandler\chandwi01,SF,6-8,225,May 10 1987,us,8,DePaul University
35,Kenneth Faried\farieke01,PF,6-8,228,November 19 1989,us,5,Morehead State University
14,Gary Harris\harriga01,SG,6-4,210,September 14 1994,us,2,Michigan State University
23,Jusuf Nurkic\nurkiju01,C,7-0,280,August 23 1994,ba,2,
0,Emmanuel Mudiay\mudiaem01,PG,6-5,200,March 5 1996,cd,1,
1,Jameer Nelson\nelsoja01,PG,6-0,190,February 9 1982,us,12,Saint Joseph's University
15,Nikola Jokic\jokicni01,C,6-10,250,February 19 1995,rs,1,
5,Will Barton\bartowi01,SG,6-6,175,January 6 1991,us,4,University of Memphis
00,Darrell Arthur\arthuda01,PF,6-9,235,March 25 1988,us,7,University of Kansas
25,Malik Beasley\beaslma01,SG,6-5,196,November 26 1996,us,R,Florida State University
3,Mike Miller\millemi01,SF,6-8,218,February 19 1980,us,16,University of Florida
27,Jamal Murray\murraja01,SG,6-4,207,February 23 1997,ca,R,University of Kentucky
41,Juan Hernangomez\hernaju01,PF,6-9,230,September 28 1995,es,R,
12,Jarnell Stokes\stokeja01,PF,6-9,263,January 7 1994,us,2,University of Tennessee
