No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
22,Avery Bradley,SG,6-2,180,November 26 1990,us,7,University of Texas at Austin
7,Stanley Johnson,SF,6-7,245,May 29 1996,us,2,University of Arizona
34,Tobias Harris,PF,6-9,235,July 15 1992,us,6,University of Tennessee
1,Reggie Jackson,PG,6-3,208,April 16 1990,it,6,Boston College
30,Jon Leuer,PF,6-10,228,May 14 1989,us,6,University of Wisconsin
14,Ish Smith,PG,6-0,175,July 5 1988,us,7,Wake Forest University
0,Andre Drummond,C,6-11,279,August 10 1993,us,5,University of Connecticut
51,Boban Marjanovic,C,7-3,290,August 15 1988,rs,2,
8,Henry Ellenson,PF,6-11,245,January 13 1997,us,1,Marquette University
5,Luke Kennard,SG,6-6,206,June 24 1996,us,R,Duke University
9,Langston Galloway,SG,6-2,200,December 9 1991,us,3,Saint Joseph's University
24,Eric Moreland,PF,6-10,238,December 24 1991,us,2,Oregon State University
25,Reggie Bullock,SF,6-7,205,March 16 1991,us,4,University of North Carolina
43,Anthony Tolliver,PF,6-8,240,June 1 1985,us,9,Creighton University
