No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,James Harden,SG,6-5,220,August 26 1989,us,8,Arizona State University
1,Trevor Ariza,SF,6-8,215,June 30 1985,us,13,University of California Los Angeles
3,Chris Paul,PG,6-0,175,May 6 1985,us,12,Wake Forest University
15,Clint Capela,C,6-10,240,May 18 1994,ch,3,
33,Ryan Anderson,PF,6-10,240,May 6 1988,us,9,University of California
10,Eric Gordon,SG,6-4,215,December 25 1988,us,9,Indiana University
21,Chinanu Onuaku,F-C,6-10,245,November 1 1996,us,1,University of Louisville
42,Nene,C,6-11,250,September 13 1982,br,15,
4,P.J. Tucker,SF,6-6,245,May 5 1985,us,6,University of Texas at Austin
28,Tarik Black,C,6-9,250,November 22 1991,us,3,University of Kansas
12,Luc Mbah a Moute,PF,6-8,230,September 9 1986,cm,9,University of California Los Angeles
5,Troy Williams,SF,6-7,218,December 30 1994,us,1,Indiana University
9,Zhou Qi,C,7-1,210,January 16 1996,cn,R,
6,Bobby Brown,PG,6-2,175,September 24 1984,us,3,California State University Fullerton
