No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Victor Oladipo,SG,6-4,210,May 4 1992,us,4,Indiana University
33,Myles Turner,C,6-11,243,March 24 1996,us,2,University of Texas at Austin
21,Thaddeus Young,PF,6-8,221,June 21 1988,us,10,Georgia Institute of Technology
6,Cory Joseph,PG,6-3,193,August 20 1991,ca,6,University of Texas at Austin
40,Glenn Robinson III,G-F,6-6,222,January 8 1994,us,3,University of Michigan
3,Joe Young,PG,6-2,180,June 27 1992,us,2,University of Oregon
25,Al Jefferson,C,6-10,289,January 4 1985,us,13,
11,Domantas Sabonis,C,6-11,240,May 3 1996,us,1,Gonzaga University
1,Lance Stephenson,SG,6-5,230,September 5 1990,us,7,University of Cincinnati
22,T.J. Leaf,PF,6-10,222,April 30 1997,il,R,University of California Los Angeles
44,Bojan Bogdanovic,SF,6-8,216,April 18 1989,ba,3,
13,Ike Anigbogu,C,6-10,252,October 22 1998,us,R,University of California Los Angeles
2,Darren Collison,PG,6-0,175,August 23 1987,us,8,University of California Los Angeles
12,Damien Wilkins,SF,6-6,225,January 11 1980,us,9,University of Georgia
