No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Sam Dekker,PF,6-9,230,May 6 1994,us,2,University of Wisconsin
21,Patrick Beverley,SG,6-1,185,July 12 1988,us,5,University of Arkansas
6,DeAndre Jordan,C,6-11,265,July 21 1988,us,9,Texas A&M University
23,Lou Williams,SG,6-1,175,October 27 1986,us,12,
5,Montrezl Harrell,C,6-8,240,January 26 1994,us,2,University of Louisville
25,Austin Rivers,SG,6-4,200,August 1 1992,us,5,Duke University
33,Wesley Johnson,SF,6-7,215,July 11 1987,us,7,Syracuse University
11,Brice Johnson,PF,6-10,230,June 27 1994,us,1,University of North Carolina
8,Danilo Gallinari,SF,6-10,225,August 8 1988,it,8,
4,Milos Teodosic,PG,6-5,196,March 19 1987,rs,R,
1,Jawun Evans,PG,6-0,185,July 26 1996,us,R,Oklahoma State University
32,Blake Griffin,PF,6-10,251,March 16 1989,us,7,University of Oklahoma
0,Sindarius Thornwell,SG,6-5,212,November 15 1994,us,R,University of South Carolina
35,Willie Reed,C,6-10,220,May 16 1990,us,2,Saint Louis University
