No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
30,Julius Randle,C,6-9,250,November 29 1994,us,3,University of Kentucky
7,Larry Nance Jr.,PF,6-9,230,January 1 1993,us,2,University of Wyoming
11,Brook Lopez,C,7-0,275,April 1 1988,us,9,Stanford University
3,Corey Brewer,SF,6-9,186,March 5 1986,us,10,University of Florida
9,Luol Deng,SF,6-9,220,April 16 1985,ss,13,Duke University
40,Ivica Zubac,C,7-1,265,March 18 1997,ba,1,
6,Jordan Clarkson,SG,6-5,194,June 7 1992,us,3,University of Missouri
14,Brandon Ingram,SF,6-9,190,September 2 1997,us,1,Duke University
2,Lonzo Ball,PG,6-6,190,October 27 1997,us,R,University of California Los Angeles
0,Kyle Kuzma,PF,6-9,220,July 24 1995,us,R,University of Utah
5,Josh Hart,SG,6-5,209,March 6 1995,us,R,Villanova University
1,Kentavious Caldwell-Pope,SG,6-5,205,February 18 1993,us,4,University of Georgia
10,Tyler Ennis,PG,6-3,194,August 24 1994,ca,3,Syracuse University
31,Thomas Bryant,C,6-10,248,July 31 1997,us,R,Indiana University
66,Andrew Bogut,C,7-0,260,November 28 1984,au,12,University of Utah
