No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Vince Carter\cartevi01,SG,6-6,220,January 26 1977,us,18,University of North Carolina
50,Zach Randolph\randoza01,PF,6-9,260,July 16 1981,us,15,Michigan State University
33,Marc Gasol\gasolma01,C,7-1,255,January 29 1985,es,8,
9,Tony Allen\allento01,SG,6-4,213,January 11 1982,us,12,Oklahoma State University
0,JaMychal Green\greenja01,PF,6-9,227,June 21 1990,us,2,University of Alabama
1,Jarell Martin\martija01,PF,6-10,239,May 24 1994,us,1,Louisiana State University
34,Brandan Wright\wrighbr03,PF,6-10,210,October 5 1987,us,8,University of North Carolina
25,Chandler Parsons\parsoch01,SF,6-10,230,October 25 1988,us,5,University of Florida
5,Andrew Harrison\harrian01,SG,6-6,213,October 28 1994,us,R,University of Kentucky
11,Mike Conley\conlemi01,PG,6-1,175,October 11 1987,us,9,Ohio State University
30,Troy Daniels\danietr01,SG,6-4,205,July 15 1991,us,3,Virginia Commonwealth University
8,James Ennis\ennisja01,SF,6-7,210,July 1 1990,us,2,California State University Long Beach
4,Wade Baldwin\baldwwa01,PG,6-4,202,March 29 1996,us,R,Vanderbilt University
23,Deyonta Davis\davisde01,C,6-11,237,December 2 1996,us,R,Michigan State University
10,Troy Williams\willitr02,SF,6-7,218,December 30 1994,us,R,Indiana University
