No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
20,Justise Winslow,SF,6-7,225,March 26 1996,us,2,Duke University
7,Goran Dragic,PG,6-3,190,May 6 1986,si,9,
0,Josh Richardson,SF,6-6,200,September 15 1993,us,2,University of Tennessee
8,Tyler Johnson,PG,6-4,186,May 7 1992,us,3,California State University Fresno
4,A.J. Hammons,C,7-0,260,August 27 1992,us,1,Purdue University
21,Hassan Whiteside,C,7-0,265,June 13 1989,us,5,Marshall University
2,Wayne Ellington,SG,6-4,200,October 29 1987,us,8,University of North Carolina
17,Rodney McGruder,G,6-4,205,July 29 1991,us,1,Kansas State University
15,Okaro White,PF,6-8,204,August 13 1992,us,1,Florida State University
13,Bam Adebayo,C,6-10,243,July 18 1997,us,R,University of Kentucky
40,Udonis Haslem,C,6-8,235,June 9 1980,us,14,University of Florida
16,James Johnson,PF,6-9,250,February 20 1987,us,8,Wake Forest University
11,Dion Waiters,SG,6-4,225,December 10 1991,us,5,Syracuse University
9,Kelly Olynyk,PF,7-0,238,April 19 1991,ca,4,Gonzaga University
25,Jordan Mickey,PF,6-8,235,July 9 1994,us,2,Louisiana State University
