No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Eric Bledsoe,PG,6-1,205,December 9 1989,us,7,University of Kentucky
31,John Henson,C,6-11,229,December 28 1990,us,5,University of North Carolina
34,Giannis Antetokounmpo,PF,6-11,222,December 6 1994,gr,4,
12,Jabari Parker,F,6-8,250,March 15 1995,us,3,Duke University
20,Rashad Vaughn,SG,6-6,202,August 16 1996,us,2,University of Nevada Las Vegas
22,Khris Middleton,SF,6-8,234,August 12 1991,us,5,Texas A&M University
35,Mirza Teletovic,PF,6-9,242,September 18 1985,ba,5,
8,Matthew Dellavedova,PG,6-4,198,September 8 1990,au,4,Saint Mary's College of California
7,Thon Maker,C,7-1,216,February 25 1997,ss,1,
13,Malcolm Brogdon,PG,6-5,215,December 11 1992,us,1,University of Virginia
5,D.J. Wilson,PF,6-10,234,February 19 1996,us,R,University of Michigan
23,Sterling Brown,SG,6-5,225,February 10 1995,us,R,Southern Methodist University
21,Tony Snell,SG,6-7,200,November 10 1991,us,4,University of New Mexico
3,Jason Terry,SG,6-2,185,September 15 1977,us,18,University of Arizona
25,DeAndre Liggins,SG,6-6,209,March 31 1988,us,4,University of Kentucky
