No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Ricky Rubio\rubiori01,PG,6-4,194,October 21 1990,es,5,
15,Shabazz Muhammad\muhamsh01,SF,6-6,223,November 13 1992,us,3,University of California Los Angeles
5,Gorgui Dieng\dienggo01,PF,6-11,241,January 18 1990,sn,3,University of Louisville
14,Nikola Pekovic\pekovni01,C,6-11,307,January 3 1986,me,6,
22,Andrew Wiggins\wiggian01,SF,6-8,199,February 23 1995,ca,2,University of Kansas
8,Zach LaVine\lavinza01,SG,6-5,189,March 10 1995,us,2,University of California Los Angeles
33,Adreian Payne\paynead01,PF,6-10,237,February 19 1991,us,2,Michigan State University
32,Karl-Anthony Towns\townska01,C,7-0,244,November 15 1995,us,1,University of Kentucky
1,Tyus Jones\jonesty01,PG,6-2,195,May 10 1996,us,1,Duke University
88,Nemanja Bjelica\bjeline01,PF,6-10,240,May 9 1988,rs,1,
45,Cole Aldrich\aldrico01,C,6-11,250,October 31 1988,us,6,University of Kansas
3,Kris Dunn\dunnkr01,PG,6-4,210,March 18 1994,us,R,Providence College
4,Brandon Rush\rushbr01,SG,6-6,220,July 7 1985,us,8,University of Kansas
27,Jordan Hill\hilljo01,C,6-10,235,July 27 1987,us,7,University of Arizona
