No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
44,Bojan Bogdanovic\bogdabo02,SF,6-8,216,April 18 1989,ba,2,
24,Rondae Hollis-Jefferson\holliro01,SF,6-7,220,January 3 1995,us,1,University of Arizona
1,Chris McCullough\mcculch01,PF,6-11,200,February 5 1995,us,1,Syracuse University
11,Brook Lopez\lopezbr01,C,7-0,275,April 1 1988,us,8,Stanford University
13,Quincy Acy\acyqu01,PF,6-7,240,October 6 1990,us,4,Baylor University
6,Sean Kilpatrick\kilpase01,SG,6-4,210,January 6 1990,us,2,University of Cincinnati
7,Jeremy Lin\linje01,PG,6-3,200,August 23 1988,us,6,Harvard University
35,Trevor Booker\booketr01,PF,6-8,228,November 25 1987,us,6,Clemson University
15,Isaiah Whitehead\whiteis01,PG,6-4,213,March 8 1995,us,R,Seton Hall University
4,Luis Scola\scolalu01,PF,6-9,240,April 30 1980,ar,9,
41,Justin Hamilton\hamilju01,C,7-0,260,April 1 1990,us,2,Louisiana State University
2,Randy Foye\foyera01,SG,6-4,213,September 24 1983,us,10,Villanova University
22,Caris LeVert\leverca01,SF,6-7,203,August 25 1994,us,R,University of Michigan
12,Joe Harris\harrijo01,SG,6-6,219,September 7 1991,us,2,University of Virginia
8,Spencer Dinwiddie\dinwisp01,PG,6-6,200,April 6 1993,us,2,University of Colorado
