No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
20,Quincy Pondexter\pondequ01,G-F,6-7,220,March 10 1988,us,5,University of Washington
23,Anthony Davis\davisan02,C,6-10,253,March 11 1993,us,4,University of Kentucky
11,Jrue Holiday\holidjr01,PG,6-4,205,June 12 1990,us,7,University of California Los Angeles
1,Tyreke Evans\evansty01,SG,6-6,220,September 19 1989,us,7,University of Memphis
42,Alexis Ajinca\ajincal01,C,7-2,248,May 6 1988,fr,6,
3,Omer Asik\asikom01,C,7-0,255,July 4 1986,tr,6,
33,Dante Cunningham\cunnida01,SF,6-8,230,April 22 1987,us,7,Villanova University
55,E'Twaun Moore\mooreet01,SG,6-4,191,February 28 1989,us,5,Purdue University
10,Langston Galloway\gallola01,PG,6-2,200,December 9 1991,us,2,Saint Joseph's University
24,Buddy Hield\hieldbu01,SG,6-4,214,December 17 1993,bs,R,University of Oklahoma
2,Tim Frazier\fraziti01,PG,6-1,170,November 1 1990,us,2,Pennsylvania State University
9,Terrence Jones\joneste01,PF,6-9,252,January 9 1992,us,4,University of Kentucky
13,Cheick Diallo\diallch01,PF,6-9,220,September 13 1996,ml,R,University of Kansas
44,Solomon Hill\hillso01,SF,6-7,225,March 18 1991,us,3,University of Arizona
12,Donatas Motiejunas\motiedo01,PF,7-0,222,September 20 1990,lt,4,
