No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
20,Doug McDermott,SF,6-8,225,January 3 1992,us,3,Creighton University
6,Kristaps Porzingis,PF,7-3,240,August 2 1995,lv,2,
9,Kyle O'Quinn,C,6-10,250,March 26 1990,us,5,Norfolk State University
00,Enes Kanter,C,6-11,245,May 20 1992,ch,6,
13,Joakim Noah,C,6-11,230,February 25 1985,us,10,University of Florida
5,Courtney Lee,SG,6-5,200,October 3 1985,us,9,Western Kentucky University
42,Lance Thomas,PF,6-8,235,April 24 1988,us,6,Duke University
14,Willy Hernangomez,C,6-11,240,May 27 1994,es,1,
11,Frank Ntilikina,PG,6-5,190,July 28 1998,be,R,
3,Tim Hardaway,SG,6-6,205,March 16 1992,us,4,University of Michigan
31,Ron Baker,SG,6-4,220,March 30 1993,us,1,Wichita State University
21,Damyean Dotson,SG,6-6,205,May 6 1994,us,R,University of Houston
8,Michael Beasley,PF,6-9,235,January 9 1989,us,9,Kansas State University
1,Ramon Sessions,PG,6-3,190,April 11 1986,us,10,University of Nevada Reno
55,Jarrett Jack,PG,6-3,200,October 28 1983,us,12,Georgia Institute of Technology
