No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Paul George,SF,6-9,220,May 2 1990,us,7,California State University Fresno
7,Carmelo Anthony,PF,6-8,240,May 29 1984,us,14,Syracuse University
0,Russell Westbrook,PG,6-3,200,November 12 1988,us,9,University of California Los Angeles
12,Steven Adams,C,7-0,255,July 20 1993,nz,4,University of Pittsburgh
9,Jerami Grant,PF,6-8,210,March 12 1994,us,3,Syracuse University
15,Kyle Singler,SF,6-8,228,May 4 1988,us,5,Duke University
34,Josh Huestis,PF,6-7,230,December 19 1991,us,2,Stanford University
8,Alex Abrines,SG,6-6,190,August 1 1993,es,1,
54,Patrick Patterson,PF,6-9,230,March 14 1989,us,7,University of Kentucky
2,Raymond Felton,PG,6-1,205,June 26 1984,us,12,University of North Carolina
21,Andre Roberson,SG,6-7,210,December 4 1991,us,4,University of Colorado
44,Dakari Johnson,C,7-0,255,September 22 1995,us,R,University of Kentucky
4,Nick Collison,PF,6-10,255,October 26 1980,us,13,University of Kansas
23,Terrance Ferguson,SG,6-7,184,May 17 1998,us,R,
