No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Nikola Vucevic,C,7-0,260,October 24 1990,ch,6,University of Southern California
31,Terrence Ross,SG,6-7,206,February 5 1991,us,5,University of Washington
00,Aaron Gordon,PF,6-9,220,September 16 1995,us,3,University of Arizona
2,Elfrid Payton,PG,6-4,185,February 22 1994,us,3,University of Louisiana at Lafayette
8,Mario Hezonja,SF,6-8,215,February 25 1995,hr,2,
11,Bismack Biyombo,C,6-9,255,August 28 1992,cd,6,
14,D.J. Augustin,PG,6-0,183,November 10 1987,us,9,University of Texas at Austin
10,Evan Fournier,SF,6-7,205,October 29 1992,fr,5,
1,Jonathan Isaac,PF,6-10,210,October 3 1997,us,R,Florida State University
17,Jonathon Simmons,SG,6-6,195,September 14 1989,us,2,University of Houston
25,Wesley Iwundu,SF,6-7,193,December 20 1994,us,R,Kansas State University
5,Marreese Speights,C,6-10,255,August 4 1987,us,9,University of Florida
4,Arron Afflalo,SG,6-5,210,October 15 1985,us,10,University of California Los Angeles
24,Khem Birch,C,6-9,220,September 28 1992,ca,R,University of Nevada Las Vegas
7,Shelvin Mack,PG,6-3,203,April 22 1990,us,6,Butler University
