No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
21,Joel Embiid,C,7-0,250,March 16 1994,cm,1,University of Kansas
33,Robert Covington,PF,6-9,215,December 14 1990,us,4,Tennessee State University
1,Justin Anderson,SF,6-6,228,November 19 1993,us,2,University of Virginia
22,Richaun Holmes,C,6-10,245,October 15 1993,us,2,Bowling Green State University
25,Ben Simmons,PG,6-10,230,July 20 1996,au,R,Louisiana State University
7,Timothe Luwawu-Cabarrot,SF,6-6,205,May 9 1995,fr,1,
35,Trevor Booker,PF,6-8,228,November 25 1987,us,7,Clemson University
9,Dario Saric,PF,6-10,223,April 8 1994,hr,1,
0,Jerryd Bayless,SG,6-3,200,August 20 1988,us,9,University of Arizona
12,T.J. McConnell,PG,6-2,200,March 25 1992,us,2,University of Arizona
30,Furkan Korkmaz,SG,6-7,185,July 24 1997,tr,R,
5,Amir Johnson,C,6-9,240,May 1 1987,us,12,
17,J.J. Redick,SG,6-4,190,June 24 1984,us,11,Duke University
20,Markelle Fultz,SG,6-4,195,May 29 1998,us,R,University of Washington
