No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
21,Alex Len,C,7-1,260,June 16 1993,ua,4,University of Maryland
12,T.J. Warren,SF,6-8,230,September 5 1993,us,3,North Carolina State University
1,Devin Booker,SG,6-6,206,October 30 1996,us,2,University of Kentucky
4,Tyson Chandler,C,7-1,240,October 2 1982,us,16,
11,Brandon Knight,G,6-3,189,December 2 1991,us,6,University of Kentucky
14,Greg Monroe,C,6-11,265,June 4 1990,us,7,Georgetown University
30,Troy Daniels,SG,6-4,205,July 15 1991,us,4,Virginia Commonwealth University
3,Jared Dudley,PF,6-7,225,July 10 1985,us,10,Boston College
35,Dragan Bender,PF,7-1,225,November 17 1997,ba,1,
0,Marquese Chriss,PF,6-10,233,July 2 1997,us,1,University of Washington
8,Tyler Ulis,PG,5-10,150,January 5 1996,us,1,University of Kentucky
20,Josh Jackson,SF,6-8,207,February 10 1997,us,R,University of Kansas
32,Davon Reed,G,6-5,208,June 11 1995,us,R,University of Miami
15,Alan Williams,F-C,6-8,260,January 28 1993,us,2,University of California Santa Barbara
2,Isaiah Canaan,PG,6-0,201,May 21 1991,us,4,Murray State University
