No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Damian Lillard,PG,6-3,195,July 15 1990,us,5,Weber State University
3,C.J. McCollum,SG,6-3,190,September 19 1991,us,4,Lehigh University
6,Shabazz Napier,PG,6-1,175,July 14 1991,us,3,University of Connecticut
21,Noah Vonleh,PF,6-10,240,August 24 1995,us,3,Indiana University
27,Jusuf Nurkic,C,7-0,280,August 23 1994,ba,3,
8,Al-Farouq Aminu,PF,6-9,220,September 21 1990,us,7,Wake Forest University
17,Ed Davis,C,6-10,240,June 5 1989,us,7,University of North Carolina
5,Pat Connaughton,SG,6-5,206,January 6 1993,us,2,University of Notre Dame
1,Evan Turner,SF,6-7,220,October 27 1988,us,7,Ohio State University
10,Jake Layman,SF,6-9,210,March 7 1994,us,1,University of Maryland
11,Meyers Leonard,C,7-1,245,February 27 1992,us,5,University of Illinois at Urbana-Champaign
4,Maurice Harkless,SF,6-9,215,May 11 1993,us,5,St. John's University
33,Zach Collins,C,7-0,232,November 19 1997,us,R,Gonzaga University
50,Caleb Swanigan,PF,6-8,250,April 18 1997,us,R,Purdue University
