No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
00,Willie Cauley-Stein,C,7-0,240,August 18 1993,us,2,University of Kentucky
41,Kosta Koufos,C,7-0,265,February 24 1989,us,9,Ohio State University
17,Garrett Temple,SG,6-6,195,May 8 1986,us,7,Louisiana State University
13,Georgios Papagiannis,C,7-1,240,July 3 1997,gr,1,
23,Malachi Richardson,SG,6-6,205,January 5 1996,us,1,Syracuse University
7,Skal Labissiere,PF,6-11,225,March 18 1996,ht,1,University of Kentucky
24,Buddy Hield,SG,6-4,214,December 17 1993,bs,1,University of Oklahoma
20,Harry Giles,F-C,6-10,240,April 22 1998,us,R,Duke University
25,Justin Jackson,SF,6-8,200,March 28 1995,us,R,University of North Carolina
15,Vince Carter,SF,6-6,220,January 26 1977,us,19,University of North Carolina
50,Zach Randolph,PF,6-9,260,July 16 1981,us,16,Michigan State University
3,George Hill,PG,6-3,188,May 4 1986,us,9,Indiana University-Purdue University Indianapolis
5,De'Aaron Fox,PG,6-3,170,December 20 1997,us,R,University of Kentucky
8,Bogdan Bogdanovic,SG,6-6,205,August 18 1992,rs,R,
10,Frank Mason III,PG,6-0,189,April 3 1994,us,R,University of Kansas
