No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
92,Lucas Nogueira,C,7-0,241,July 26 1992,br,3,
17,Jonas Valanciunas,C,7-0,265,May 6 1992,lt,5,
5,Bruno Caboclo,SF,6-9,218,September 21 1995,br,3,
55,Delon Wright,PG,6-5,183,April 26 1992,us,2,University of Utah
24,Norman Powell,SG,6-4,215,May 25 1993,us,2,University of California Los Angeles
10,DeMar DeRozan,SG,6-7,221,August 7 1989,us,8,University of Southern California
42,Jakob Poeltl,C,7-0,248,October 15 1995,at,1,University of Utah
43,Pascal Siakam,PF,6-9,230,February 4 1994,cm,1,New Mexico State University
23,Fred VanVleet,PG,6-0,195,February 25 1994,us,1,Wichita State University
3,OG Anunoby,SF,6-8,232,July 17 1997,gb,R,Indiana University
34,Alfonzo McKinnie,SF,6-8,215,September 17 1992,us,R,University of Wisconsin-Green Bay
0,C.J. Miles,SF,6-6,225,April 18 1987,us,12,
7,Kyle Lowry,PG,6-0,205,March 25 1986,us,11,Villanova University
9,Serge Ibaka,PF,6-10,235,September 18 1989,cg,8,
