No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
27,Rudy Gobert,C,7-1,245,June 26 1992,fr,4,
3,Ricky Rubio,PG,6-4,194,October 21 1990,es,6,
15,Derrick Favors,C,6-10,265,July 15 1991,us,7,Georgia Institute of Technology
10,Alec Burks,SG,6-6,214,July 20 1991,us,6,University of Colorado
11,Dante Exum,G,6-6,190,July 13 1995,au,2,
5,Rodney Hood,SG,6-8,206,October 20 1992,us,3,Duke University
25,Raul Neto,PG,6-1,179,May 19 1992,br,2,
6,Joe Johnson,SF,6-7,240,June 29 1981,us,16,University of Arkansas
45,Donovan Mitchell,SG,6-3,211,September 7 1996,us,R,University of Louisville
13,Tony Bradley,C,6-11,240,January 8 1998,us,R,University of North Carolina
8,Jonas Jerebko,PF,6-10,231,March 2 1987,se,7,
22,Thabo Sefolosha,SF,6-7,220,May 2 1984,ch,11,
23,Royce O'Neale,SF,6-6,215,June 5 1993,us,R,Baylor University
33,Ekpe Udoh,C,6-10,240,May 20 1987,us,5,Baylor University
2,Joe Ingles,SF,6-8,226,October 2 1987,au,3,
