No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Marcin Gortat,C,6-11,240,February 17 1984,pl,10,
5,Markieff Morris,PF,6-10,245,September 2 1989,us,6,University of Kansas
2,John Wall,PG,6-4,195,September 6 1990,us,7,University of Kentucky
12,Kelly Oubre Jr.,SF,6-7,205,December 9 1995,us,2,University of Kansas
1,Chris McCullough,PF,6-11,200,February 5 1995,us,2,Syracuse University
28,Ian Mahinmi,C,6-11,250,November 5 1986,fr,9,
14,Jason Smith,C,7-0,245,March 2 1986,us,9,Colorado State University
31,Tomas Satoransky,SG,6-7,210,October 30 1991,cz,1,
8,Tim Frazier,PG,6-1,170,November 1 1990,us,3,Pennsylvania State University
3,Bradley Beal,SG,6-5,207,June 28 1993,us,5,University of Florida
9,Sheldon Mac,G,6-5,200,December 21 1992,us,1,University of Miami
22,Otto Porter,SF,6-8,198,June 3 1993,us,4,Georgetown University
30,Mike Scott,PF,6-8,237,July 16 1988,us,5,University of Virginia
20,Jodie Meeks,SG,6-4,210,August 21 1987,us,8,University of Kentucky
